"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.507753004E1,2.773731995E-1,9.823921051E0,-8.113128662E-2
3.517803204E1,3.246748352E-1,9.791737976E0,-4.327500916E-1
3.527853304E1,2.773731995E-1,9.790390778E0,-4.992118835E-1
3.537903604E1,1.886077881E-1,9.801916809E0,-2.544708252E-2
3.547953604E1,2.173480225E-1,9.728269958E0,-2.273771667E-1
3.558003904E1,3.453318787E-1,9.833800507E0,-8.232879639E-3
3.568054029E1,3.436853027E-1,9.745334473E0,-1.511856079E-1
3.578104229E1,-1.047821045E-3,9.801018677E0,-1.399589539E-1
3.588154329E1,1.692979431E-1,9.778415680E0,3.083587646E-2
3.598204529E1,4.505630493E-2,9.848619690E0,-4.176315308E-2
3.608254629E1,2.510279846E-1,9.711953888E0,8.023315430E-2
3.618304829E1,2.395019531E-1,9.854307861E0,-1.197509766E-1
3.628354829E1,2.793191528E-1,9.846224670E0,5.433700562E-2
3.638405129E1,2.252815247E-1,9.868378601E0,7.828720093E-2
3.648455129E1,3.121009827E-1,9.846374359E0,-1.041833496E-1
3.658505329E1,3.125500488E-1,1.006447083E1,-5.307962036E-1
3.668555421E1,3.927832031E-1,9.439221039E0,-3.673361206E-1
3.678605621E1,7.704478455E-1,9.747130737E0,-3.040177917E-1
3.688655721E1,4.939727783E-3,9.981094208E0,-6.481521606E-2
3.698705921E1,-3.128494263E-1,1.005084915E1,-4.020639038E-1
3.708755921E1,5.269042969E-1,9.473948822E0,2.978805542E-1
3.718806221E1,4.026626587E-2,9.862241364E0,-8.387059021E-1
3.728856221E1,-5.343887329E-2,9.777667236E0,-7.138655090E-1
3.738906421E1,2.430944824E-1,9.742041321E0,-5.683680725E-1
3.748956521E1,2.225871277E-1,9.758507080E0,-7.156617737E-1
3.759006721E1,5.533992004E-1,9.756112061E0,-6.515950012E-1
3.769056779E1,3.335064697E-1,9.424701233E0,-7.470964050E-1
3.779106979E1,1.040336609E-1,9.877659302E0,-6.138734436E-1
3.789157079E1,-5.688171387E-3,1.035651352E1,-3.240760803E-1
3.799207179E1,-1.095721436E-1,1.127470413E1,7.244934082E-2
3.809257279E1,6.346801758E-2,9.467512207E0,3.980223083E-1
