"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.340835611E1,-2.878617682E-2,2.748812735E-2,4.337015375E-2
2.350600449E1,8.475505747E-3,-5.573981442E-3,1.809635013E-2
2.360365288E1,1.313321572E-2,-1.114796288E-2,2.183778957E-2
2.370130126E1,1.427855436E-2,5.039490014E-2,3.520007432E-2
2.379894965E1,1.870719716E-2,8.383878320E-2,2.634278871E-2
2.389659803E1,1.679830020E-3,6.948387623E-2,2.107422985E-2
2.399424642E1,-2.443389036E-3,5.436540768E-2,6.795675959E-3
2.409189480E1,1.626380906E-2,6.375718117E-2,4.657710437E-3
2.418954319E1,4.657710344E-2,-1.382041909E-2,1.252236869E-2
2.428719158E1,1.656923257E-2,-4.459185153E-2,7.559234742E-3
2.438483996E1,-2.672456764E-2,3.176405653E-2,2.932066843E-2
2.448248835E1,-3.504735976E-2,1.393495351E-1,1.496575773E-2
2.458013673E1,2.290677221E-4,1.404948682E-1,-1.840177365E-2
2.467778517E1,-1.542389300E-2,1.481304616E-1,5.497625098E-3
2.477543355E1,-2.435753495E-2,1.366770733E-2,3.512371797E-3
2.487308194E1,-1.359135192E-2,7.207997888E-2,3.726168349E-2
2.497073038E1,-4.253023863E-2,-8.551862091E-3,4.810422286E-2
2.506837876E1,-2.825168520E-2,2.695363574E-2,1.618745178E-2
2.516602720E1,-4.436278343E-2,8.307522535E-2,-1.466033421E-2
2.526367564E1,9.712471068E-2,1.502684206E-1,-7.673768699E-2
2.536132402E1,1.192679256E-1,5.955760833E-3,-4.955498502E-2
2.545897246E1,1.033858955E-1,5.459447205E-2,2.443389036E-2
2.555662085E1,1.293469071E-1,4.963133950E-3,4.428642616E-2
2.565426928E1,1.039203927E-1,-7.612683624E-2,-2.038702741E-2
2.575191772E1,1.290414855E-2,-5.734328553E-2,-1.214058883E-2
2.584956616E1,1.397313084E-2,-2.924431302E-2,5.398362502E-2
2.594721460E1,4.688252881E-2,-1.084253844E-2,1.404948719E-2
2.604486298E1,-2.702999115E-2,6.658235192E-2,4.581354558E-2
2.614251142E1,-7.047650218E-2,2.237228118E-2,4.657710344E-2
2.624015986E1,4.092676565E-2,-8.712209016E-2,-2.901524492E-2
2.633780829E1,5.932854116E-2,-1.143047959E-1,-4.741701856E-2
2.643545673E1,-3.817795310E-3,-7.727217674E-2,6.642963737E-3
2.653310517E1,-6.978929788E-2,-3.649812192E-2,-8.322793990E-3
2.663075361E1,-6.429167092E-2,-6.650599837E-2,-6.345175952E-2
2.672840204E1,-1.977618039E-2,1.229330152E-2,-4.459185153E-2
2.682605048E1,-6.261184346E-3,3.749075159E-2,2.993151546E-2
2.692369892E1,-1.809635013E-2,6.108472589E-3,4.611896724E-2
2.702134736E1,2.115058713E-2,-1.924932450E-1,-2.443389036E-2
2.711899585E1,-3.710897267E-2,-1.940967143E-1,-1.939439960E-2
2.721664405E1,-8.551862091E-3,-1.461452097E-1,-1.618745178E-2
2.731429249E1,3.695625812E-2,-5.558710173E-2,3.512371797E-3
2.741194093E1,2.290677279E-2,1.618745178E-2,-3.436015919E-3
2.750958942E1,-2.619007602E-2,-1.504211426E-1,-6.169557199E-2
2.760723786E1,3.649812192E-2,-9.697200358E-2,2.328855172E-2
2.770488629E1,6.887302548E-2,2.954973653E-2,4.489727318E-2
2.780253478E1,3.687990457E-2,8.376242965E-2,2.153236605E-2
2.790018322E1,-3.458922729E-2,5.978667364E-2,2.305948362E-2
2.799783171E1,-1.298050396E-2,2.069245093E-2,5.092938989E-2
2.809548015E1,5.741964281E-2,-8.292251825E-2,1.206423342E-2
2.819312864E1,4.153761268E-2,1.756185852E-2,3.359660041E-3
2.829077712E1,-4.016320780E-2,2.252499200E-2,-1.305686031E-2
2.838842556E1,1.084253844E-2,3.932329267E-2,-1.473669056E-2
2.848607405E1,5.024218559E-2,7.574506104E-2,-4.810422193E-3
2.858372254E1,3.329117596E-2,4.085041210E-2,-1.511846948E-2
2.868137098E1,-6.803311408E-2,-3.023693897E-2,2.748812549E-3
2.877901947E1,-6.169557199E-2,2.061609412E-3,5.726693198E-3
2.887666796E1,6.337540597E-2,2.328855172E-2,-2.290677279E-2
2.897431645E1,-2.183778957E-2,2.786990628E-2,4.581354442E-4
2.907196494E1,-2.870982140E-2,7.330167294E-2,-2.443389036E-3
2.916961343E1,-1.229330078E-1,-7.513421029E-2,2.305948362E-2
2.926726192E1,-5.841226876E-2,2.977880416E-3,-9.849912487E-3
2.936491041E1,-2.117349356E-1,-1.137703005E-2,9.147437662E-2
2.946255890E1,-4.955498502E-2,7.704310864E-2,4.161396995E-2
2.956020739E1,-6.917845458E-2,2.145601064E-2,2.168507688E-2
2.965785588E1,5.390727147E-2,-3.436015844E-1,-6.543701142E-2
2.975550436E1,1.349208951E-1,-9.475768358E-2,-5.199837312E-2
2.985315286E1,8.422056586E-2,-3.245126083E-2,7.330167107E-3
2.995080140E1,1.001025960E-1,1.146865711E-1,1.527118147E-4
3.004844989E1,7.543963939E-2,4.703523964E-2,-6.948387716E-3
3.014609838E1,6.154286116E-2,4.634803534E-2,-1.779092662E-2
3.024374687E1,3.939964995E-2,-4.840964451E-2,0.000000000E0
3.034139541E1,6.261184346E-3,-1.229330152E-2,-3.206948051E-3
3.043904390E1,1.343864016E-2,-6.245913357E-2,2.367033157E-3
3.053669239E1,1.206423342E-2,-2.443389036E-2,1.198787708E-2
3.063434093E1,2.748812549E-3,-3.848337755E-2,9.086352773E-3
3.073198947E1,2.137965523E-3,-1.473669056E-2,5.803049076E-3
3.082963796E1,-6.872031838E-3,9.239064530E-3,-1.298050396E-3
3.092728650E1,-1.229330152E-2,-2.794626169E-2,-7.024743594E-3
3.102493499E1,-1.977618039E-2,-4.046862945E-3,-1.779092662E-2
3.112258353E1,2.313583903E-2,1.115559787E-1,-2.183778957E-2
3.122023207E1,8.093725890E-3,6.085565686E-2,-1.534753758E-2
3.131788056E1,-2.199050039E-2,-1.756185899E-3,-6.108472589E-3
3.141552910E1,2.672456671E-3,-5.299099907E-2,-1.351499557E-2
3.151317765E1,4.138490185E-2,-5.604523420E-2,-4.275931045E-3
3.161082619E1,-2.733541466E-2,-1.756949425E-1,7.024743594E-3
3.170847473E1,1.145338640E-2,7.406522986E-3,-5.879404955E-3
3.180612327E1,-9.483403713E-2,-1.204132661E-1,1.198787708E-2
3.190377181E1,-2.649549954E-2,8.704573661E-2,-2.397575416E-2
3.200142036E1,-3.448232710E-1,2.311293334E-1,4.993676394E-2
3.209906890E1,-5.727456808E-1,2.379250079E-1,3.016822040E-1
3.219671744E1,-1.107160673E-1,6.629219651E-1,1.589729935E-1
3.229436598E1,1.614927500E-1,-1.059056446E-1,3.263451457E-1
3.239201452E1,-4.248442650E-1,9.926267713E-2,8.131904155E-2
3.248966306E1,-1.913478971E-1,-4.908921421E-1,-1.833305359E-1
3.258731166E1,1.259032607E0,5.909947157E-1,-6.112290621E-1
3.268496020E1,5.039490014E-2,-1.042258143E0,3.096995652E-1
3.278260874E1,2.225774676E-1,3.872008026E-1,-3.658211529E-1
3.288025728E1,-6.872031372E-4,-5.647283196E-1,1.470614821E-1
3.297790588E1,-6.100837141E-2,1.079672500E-1,-6.566607859E-3
3.307555442E1,-3.367295489E-2,-1.781383306E-1,-6.108472589E-3
3.317320301E1,-5.986303091E-2,-7.185091078E-2,2.069245093E-2
3.327085155E1,-5.283828825E-2,-1.113269106E-1,-1.519482583E-2
3.336850009E1,-1.066692024E-1,4.802786559E-2,-4.680617154E-2
