"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.957565845E1,4.187439755E-2,9.894919395E0,6.717849374E-1
1.967330678E1,2.602194622E-2,9.701998711E0,6.287141442E-1
1.977095512E1,-3.888336709E-3,9.775876999E0,5.258227587E-1
1.986860340E1,2.333002165E-2,9.721140862E0,4.073780477E-1
1.996625173E1,-1.366899908E-1,9.783055305E0,4.405784607E-1
2.006390007E1,-1.495514181E-3,9.697811127E0,2.656033039E-1
2.016154840E1,1.704886183E-2,9.818349838E0,3.954139352E-1
2.025919673E1,-1.884347759E-2,9.711569786E0,1.639083475E-1
2.035684506E1,-8.374879509E-2,9.898209572E0,8.105687052E-2
2.045449340E1,-3.828516230E-2,1.005404282E1,3.481557071E-1
2.055214173E1,1.447657645E-1,9.619445801E0,-8.255238086E-2
2.064979006E1,-1.007976532E-1,9.776774406E0,-1.408774406E-1
2.074743840E1,5.802594870E-2,9.884450912E0,1.510469317E-1
2.084508673E1,1.950150430E-1,9.842277527E0,4.097708687E-2
2.094273506E1,-1.229312643E-1,9.816255569E0,-1.259222925E-1
2.104038345E1,5.353940651E-2,9.833903313E0,-1.253240854E-1
2.113803178E1,9.481559694E-2,9.744770050E0,-9.152546525E-2
2.123568012E1,1.085743308E-1,9.879964828E0,-1.585244946E-2
2.133332845E1,2.656033039E-1,9.848259926E0,5.922235921E-2
2.143097678E1,1.917249113E-1,9.843474388E0,3.349951655E-2
2.152862517E1,1.471585929E-1,9.735498428E0,-1.405783296E-1
2.162627350E1,9.661021084E-2,9.837491989E0,-3.678964823E-2
2.172392184E1,2.703889608E-1,9.888638496E0,9.780662507E-2
2.182157022E1,1.540379524E-1,9.837791443E0,1.100698411E-1
2.191921855E1,2.715853751E-1,9.729815483E0,3.538386524E-1
2.201686694E1,1.731805354E-1,9.804591179E0,5.222335458E-1
2.211451527E1,-1.666002721E-1,9.853643417E0,4.070789516E-1
2.221216366E1,3.580260873E-1,9.538987160E0,4.055834413E-1
2.230981199E1,6.281159353E-3,9.894321442E0,5.985047817E-1
2.240746038E1,1.612164229E-1,1.001844978E1,7.947162390E-1
2.250510871E1,3.110669367E-2,9.638887405E0,3.741776347E-1
2.260275710E1,-3.622135222E-1,9.774381638E0,1.289133132E-1
2.270040543E1,4.797609448E-1,9.854242325E0,8.353942037E-1
2.279805382E1,-6.131608039E-2,9.643374443E0,5.362913609E-1
2.289570220E1,-2.231307179E-1,9.827322960E0,3.750749528E-1
2.299335059E1,6.580262445E-3,9.879366875E0,7.157530785E-1
2.309099892E1,8.195417374E-2,9.784550667E0,6.469594240E-1
2.318864730E1,2.093719840E-1,9.711270332E0,5.015954375E-1
2.328629569E1,8.315058798E-2,9.802198410E0,7.148557901E-1
2.338394408E1,1.585244983E-1,9.742377281E0,6.505486369E-1
2.348159241E1,1.175474152E-1,9.749855042E0,6.305087805E-1
2.357924079E1,2.470589429E-1,9.825528145E0,6.355935335E-1
2.367688918E1,3.340978622E-1,9.767801285E0,6.735795736E-1
2.377453757E1,3.095714152E-1,9.760622978E0,6.553342938E-1
2.387218595E1,2.778665423E-1,9.828818321E0,6.846463680E-1
2.396983434E1,2.359921336E-1,9.774680138E0,6.783652306E-1
2.406748272E1,2.865405083E-1,9.760323524E0,6.711867452E-1
2.416513111E1,2.533400953E-1,9.763913155E0,5.647061467E-1
2.426277949E1,2.368894368E-1,9.759127617E0,5.712863803E-1
2.436042788E1,4.615156651E-1,9.866804123E0,7.462615371E-1
2.445807626E1,2.452643216E-1,9.766903877E0,7.319046259E-1
2.455572470E1,3.251247704E-1,9.800702095E0,7.612167001E-1
2.465337309E1,3.616153300E-1,9.793225288E0,7.809575200E-1
2.475102147E1,2.437688112E-1,9.768698692E0,6.864410043E-1
2.484866991E1,4.609174728E-1,9.741479874E0,7.504490018E-1
2.494631829E1,2.820539773E-1,9.776774406E0,8.428717852E-1
2.504396673E1,4.259224236E-1,9.800104141E0,7.776673436E-1
2.514161512E1,4.875376225E-1,9.882657051E0,8.679963946E-1
2.523926355E1,6.547361016E-1,9.674181938E0,6.771687865E-1
2.533691194E1,1.079761237E-1,9.679266930E0,5.667998791E-1
2.543456038E1,2.009970993E-1,9.778269768E0,6.329016089E-1
2.553220882E1,2.210369855E-1,9.728319168E0,5.751747489E-1
2.562985720E1,-7.716853172E-2,9.816853523E0,4.642075896E-1
2.572750564E1,2.724826932E-1,9.916455269E0,5.386841893E-1
2.582515408E1,4.058825374E-1,9.643074989E0,4.731806815E-1
2.592280251E1,4.390829504E-1,9.833603859E0,3.382852972E-1
2.602045090E1,3.843471408E-1,9.868598938E0,4.292125702E-1
2.611809934E1,2.682952285E-1,9.796515465E0,3.649054468E-1
2.621574777E1,1.363908947E-1,9.802496910E0,2.991028428E-1
2.631339621E1,2.973082066E-1,9.846764565E0,3.074777126E-1
2.641104465E1,5.389832854E-1,9.776176453E0,3.891327679E-1
2.650869309E1,3.735794425E-1,9.860223770E0,4.740779996E-1
2.660634152E1,2.401795685E-1,9.913464546E0,5.324030519E-1
2.670398996E1,4.740779996E-1,9.622138023E0,4.734797776E-1
2.680163840E1,2.850449979E-1,9.553045273E0,3.305086195E-1
2.689928684E1,1.384846121E-1,9.962218285E0,2.572284341E-1
2.699693527E1,1.444666684E-1,9.825528145E0,5.189434290E-1
2.709458376E1,3.284149170E-1,9.661918640E0,6.296114326E-1
2.719223220E1,1.525424421E-1,9.943075180E0,5.210371017E-1
2.728988041E1,3.885345757E-1,9.731908798E0,5.557330847E-1
2.738752884E1,3.412763178E-1,9.796515465E0,5.799604058E-1
2.748517733E1,-6.669992954E-2,9.743574142E0,4.953143001E-1
2.758282577E1,4.842474759E-1,9.793225288E0,3.008974493E-1
2.768047421E1,3.879363835E-1,9.757332802E0,5.644070506E-1
2.777812270E1,3.424727321E-1,9.851848602E0,4.106681943E-1
2.787577114E1,2.934198678E-1,9.787542343E0,4.540380836E-1
2.797341963E1,3.858426511E-1,9.790832520E0,5.763711333E-1
2.807106806E1,3.233301640E-1,9.742676735E0,1.848455518E-1
2.816871655E1,4.549354017E-1,9.908977509E0,3.029911816E-1
2.826636499E1,3.780659735E-1,9.761520386E0,3.900300860E-1
2.836401348E1,4.079762697E-1,9.793225288E0,3.326023519E-1
2.846166197E1,3.293122053E-1,9.749555588E0,3.625126183E-1
2.855931041E1,2.443670183E-1,9.832706451E0,3.376871049E-1
2.865695890E1,3.077768087E-1,9.873085022E0,4.456632137E-1
2.875460739E1,3.035893738E-1,9.733703613E0,2.120639086E-1
2.885225588E1,1.716850251E-1,9.742975235E0,1.776670814E-1
2.894990437E1,4.396811724E-1,9.831509590E0,5.063810945E-1
2.904755280E1,2.123630047E-1,9.824032784E0,3.846462369E-1
2.914520129E1,3.065803945E-1,9.892826080E0,5.452644825E-1
2.924284978E1,2.054836452E-1,9.726525307E0,4.740779996E-1
2.934049827E1,3.879363835E-1,9.928419113E0,7.878368497E-1
2.943814676E1,4.776672125E-1,9.511769295E0,4.854438901E-1
2.953579530E1,-4.815555736E-2,9.961918831E0,8.189435601E-1
2.963344379E1,2.560320199E-1,9.548259735E0,5.721837282E-1
2.973109228E1,4.280161560E-1,9.857531548E0,9.272187948E-1
2.982874077E1,5.368895531E-1,9.665806770E0,8.883354068E-1
2.992638926E1,4.552344978E-1,9.713065147E0,7.698906660E-1
3.002403775E1,2.237289101E-1,9.920642853E0,6.804589629E-1
3.012168629E1,4.160520434E-1,9.764511108E0,6.119644046E-1
3.021933478E1,3.352942765E-1,9.787542343E0,3.876372576E-1
3.031698327E1,2.670988142E-1,9.821340561E0,3.538386524E-1
3.041463181E1,2.114657015E-1,9.779167175E0,3.224328458E-1
3.051228030E1,3.098705411E-1,9.818349838E0,3.421736360E-1
3.060992884E1,2.362912297E-1,9.816555023E0,3.643072546E-1
3.070757733E1,4.292125702E-1,9.809974670E0,3.807578981E-1
3.080522588E1,4.118646085E-1,9.800104141E0,3.753740489E-1
3.090287437E1,2.955136001E-1,9.820443153E0,3.248256743E-1
3.100052291E1,3.601198196E-1,9.864111900E0,4.728815854E-1
3.109817145E1,3.792623878E-1,9.749555588E0,4.588237405E-1
3.119581994E1,1.142572835E-1,9.795318604E0,4.061816335E-1
3.129346848E1,2.333002090E-1,9.782157898E0,4.432703853E-1
3.139111702E1,2.665006220E-1,9.719645500E0,4.181457460E-1
3.148876551E1,2.632105052E-1,9.774680138E0,2.371885478E-1
3.158641405E1,9.541380405E-2,9.835099220E0,5.515456200E-1
3.168406259E1,2.476571500E-1,9.755837440E0,2.635096014E-1
3.178171114E1,1.477568001E-1,9.977771759E0,6.014958024E-1
3.187935968E1,4.247260094E-1,9.607182503E0,4.980062246E-1
3.197700822E1,3.562314808E-1,1.064207840E1,9.978070259E-1
3.207465676E1,1.776670814E-1,1.007856941E1,1.205085278E0
3.217230530E1,7.492526174E-1,8.722137451E0,1.321436286E0
3.226995384E1,-1.965105534E-1,9.227621078E0,7.884350419E-1
3.236760239E1,9.867402315E-1,9.971191406E0,2.204387903E0
3.246525098E1,-1.495514181E-3,9.387342453E0,1.387837172E0
3.256289952E1,1.540977836E0,4.459623337E0,-2.641676188E0
3.266054806E1,-2.863909483E0,1.209272766E1,2.071586132E0
3.275819660E1,4.440779686E0,1.297418308E1,-1.630110443E-1
3.285584520E1,1.651047617E-1,1.040070248E1,6.475576162E-1
3.295349374E1,1.351346612E0,9.916455269E0,9.705886841E-1
3.305114228E1,-5.593222752E-2,9.794121742E0,5.964110494E-1
3.314879088E1,8.727820516E-1,9.746864319E0,3.888336718E-1
3.324643942E1,4.037888348E-1,9.810572624E0,4.001995921E-1
3.334408801E1,1.032802105E0,9.859625816E0,6.637091637E-1
3.344173655E1,4.435695112E-1,9.733105659E0,5.315057039E-1
3.353938515E1,2.691925466E-1,9.809376717E0,6.580262184E-1
