"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.502356704E1,2.906202376E-1,6.880215555E-2,-2.708545327E-1
2.512282804E1,9.041990340E-2,-4.150917828E-1,-2.468975633E-1
2.522208904E1,1.563755125E-1,6.192394346E-2,-6.730179489E-2
2.532135104E1,4.251172841E-1,-9.278253652E-3,-1.027147919E-1
2.542061204E1,4.098597765E-1,1.318089068E-1,-1.205310039E-2
2.551987404E1,1.532569677E-1,5.119415745E-2,2.139445096E-1
2.561913504E1,1.568890363E-1,5.282752514E-1,6.234230846E-2
2.571839704E1,1.359279733E-3,2.154721469E-1,-1.091640741E-1
2.581765804E1,-3.377690017E-1,-1.744733155E-1,-5.531333014E-2
2.591692004E1,-3.226494193E-1,8.994662762E-2,-7.924769074E-2
2.601618104E1,-3.392026722E-1,-1.874855757E-1,-6.799511611E-2
2.611544304E1,-3.287457824E-1,-1.877270490E-1,-2.981275693E-2
2.621470404E1,-4.202838242E-1,7.540672272E-2,-7.381623983E-2
2.631396604E1,-5.137944221E-1,1.710407669E-4,-6.114848331E-2
2.641322704E1,-6.189500093E-1,-8.911413699E-2,2.672838792E-2
2.651248904E1,-5.777675509E-1,-4.672733322E-2,-6.963938475E-2
2.661175104E1,-4.901303053E-1,6.869964302E-2,-1.030653790E-1
2.671101146E1,-6.331739426E-1,1.314310133E-1,2.252020687E-2
2.681027346E1,-8.276886940E-1,7.547287643E-2,2.122242451E-1
2.690953546E1,-6.976304650E-1,-2.758890092E-1,2.150495350E-1
2.700879646E1,-6.016197801E-1,4.271702468E-1,9.226907045E-2
2.710805846E1,-5.023236275E-1,-1.877371371E-1,1.308914274E-1
2.720732046E1,-5.086145401E-1,4.307168424E-1,-6.120442227E-2
2.730658246E1,-5.688287616E-1,-4.816815630E-2,2.253703177E-1
2.740584346E1,-6.280547976E-1,2.749452889E-1,2.555315942E-2
2.750510546E1,-4.628092349E-1,4.814278185E-1,-9.016860276E-2
2.760436746E1,-6.363767385E-1,4.097780287E-1,-9.891132265E-2
2.770362954E1,-7.692574859E-1,1.450762004E-1,-6.733030081E-2
2.780289154E1,-5.825167298E-1,1.442547441E-1,9.551727772E-2
2.790215354E1,-6.488066316E-1,-3.694228455E-2,1.672178656E-1
2.800141454E1,-5.484783053E-1,3.102870286E-1,-1.466205344E-3
2.810067654E1,-3.189574480E-1,1.497441232E-1,-4.514346644E-2
2.819993854E1,-2.025522739E-1,1.913603693E-1,-6.025974452E-2
2.829920054E1,-2.043955028E-1,1.169956625E-1,-3.360860795E-2
2.839846254E1,-3.163360953E-1,-1.444661319E-1,1.001775172E-2
2.849772454E1,-1.894762367E-1,-7.463963330E-2,2.783229202E-2
2.859698654E1,-3.941836953E-1,1.259590089E-1,-5.887545273E-2
2.869624921E1,-5.918689966E-1,-6.742013991E-2,3.663620725E-2
2.879551121E1,-4.491567910E-1,1.622617804E-2,-2.379911952E-2
2.889477321E1,-2.380683124E-1,5.099517852E-2,-2.938142419E-2
2.899403521E1,-1.136532128E-1,-3.421033174E-2,-2.175942063E-2
2.909329721E1,-1.885565966E-1,-7.999181747E-2,6.380993873E-4
2.919255921E1,-1.789318174E-1,-4.456337169E-2,6.952601671E-2
2.929182121E1,-3.869407773E-1,1.679394394E-1,-8.667252026E-3
2.939108321E1,-2.068465799E-1,-3.720550537E-1,8.261109889E-2
2.949034521E1,-5.304843783E-1,1.672586352E-1,-8.920506388E-2
2.958960721E1,-4.740502536E-1,-3.140873611E-1,7.396049798E-2
2.968886954E1,-2.663640082E-1,1.223417446E-1,-1.016815845E-2
2.978813154E1,1.977032050E-2,3.210805655E-1,-4.502036422E-2
2.988739454E1,-1.328877360E-2,2.157380991E-2,-1.375195850E-2
2.998665654E1,6.676889490E-3,-1.217200384E-1,2.066410892E-2
3.008591854E1,2.812330797E-2,3.950648382E-2,3.139528446E-3
3.018518054E1,1.626493223E-2,-4.148847237E-2,5.896678194E-3
3.028444254E1,5.642353091E-3,-1.056973487E-1,3.671508282E-2
3.038370454E1,-1.485864166E-3,-7.373036444E-2,2.791546658E-2
3.048296654E1,1.965224743E-3,-2.186508290E-2,6.691833958E-3
3.058222854E1,2.057777345E-2,6.957437098E-2,-5.033180583E-3
3.068149021E1,1.127466280E-2,1.218232699E-2,-1.138169412E-2
3.078075221E1,3.551347926E-2,-1.864582114E-2,2.083480358E-4
3.088001421E1,1.804944128E-2,1.968296431E-2,-2.384214289E-2
3.097927621E1,1.160673052E-2,1.973358691E-1,-7.749409974E-2
3.107853821E1,1.695028692E-1,7.513560355E-2,-5.571397021E-3
3.117780021E1,3.077567816E-1,2.177813649E-1,-1.620151103E-2
3.127706221E1,2.860188782E-1,-1.726825684E-1,7.331708074E-2
